(0,2):0.00490566037736
(0,12):-0.0226601884148
(0,13):0.0282849932926
(0,21):0.00100097448485
(0,29):-0.00221550218572
(1,13):-1.66473580138
(3,11):1.05320020088
(4,16):-2.66357728222
(5,18):-2.33490566038
(6,14):1.6851203214
(6,17):2.33490566038
(7,16):-1.06132075472
(8,15):1.06132075472
